,account,defi,round,application_id,date
0,CQNR6HCQ2WHSST66LDHFMULIJQ3WU5A65GOTRYUEW7Z32INRVG2ADESQVQ,Tinyman,21344162,552635992,2022-06-01 00:09:18
1,NTC73QG7YIL4I34ZFQS6MEXZGKV7Y7P7AQPAUEWTZFSJ57SLU27766TKNU,Tinyman,21344258,552635992,2022-06-01 00:16:16
2,XKG4B3IZJXN57M3WYF7RYNYP7K6RUKUW7SQP2Y6E6RQWCUWMQN23G3UR7U,Algofi,21344320,674526408,2022-06-01 00:20:45
3,E6EMEM52H2VJZ24MZHWHMUZNYQEP35W2ZLO33DTKIGKT3JW6DIM65QMVF4,Algofi,21344320,674527132,2022-06-01 00:20:45
4,XKG4B3IZJXN57M3WYF7RYNYP7K6RUKUW7SQP2Y6E6RQWCUWMQN23G3UR7U,Algofi,21344320,674527132,2022-06-01 00:20:45
5,DKIVZMOD6N3OIFPZPY7EYAZWWUBRNYSK5GX27BIWRQDMPJ7C5ELPQQQ3CA,Algofi,21344435,639747119,2022-06-01 00:29:03
6,ZBHI3K6ICZUHG7ZAYCNPAAG55SSYT4VVI4A6BWSDIN2LF2WBECOYOTWOQM,Algofi,21344435,639747739,2022-06-01 00:29:03
7,DKIVZMOD6N3OIFPZPY7EYAZWWUBRNYSK5GX27BIWRQDMPJ7C5ELPQQQ3CA,Algofi,21344435,639747739,2022-06-01 00:29:03
8,DWQUVMEQTQAYNNHA3LCUQFZDULBJDIDGDVOSUUKCPRMO55Z27L466LCK5U,Tinyman,21344443,552635992,2022-06-01 00:29:38
9,4FIYP5U3DVMESXHIFM2ZTVQBKQOIECICRHPJPF26IZA74SSRWQQHJOSPO4,Tinyman,21344467,552635992,2022-06-01 00:31:21
10,WLLQTPW3365UYOTLO4TBSBB2SJO4A4BNXPNUUIHHAJIMBKXNDRPTNCX5CA,Algofi,21344511,641499935,2022-06-01 00:34:32
11,ZBHI3K6ICZUHG7ZAYCNPAAG55SSYT4VVI4A6BWSDIN2LF2WBECOYOTWOQM,Algofi,21344511,641500474,2022-06-01 00:34:32
12,WLLQTPW3365UYOTLO4TBSBB2SJO4A4BNXPNUUIHHAJIMBKXNDRPTNCX5CA,Algofi,21344511,641500474,2022-06-01 00:34:32
13,ZBH4V4KF42J72SAWZIZB2TUK2D7IZBLSGZONIMJZFAK5EBC22MX2TENBKY,Tinyman,21344543,552635992,2022-06-01 00:36:51
14,HPOTYGDHJANN277PFXKT35OP6WIS75TF4N2PC3744XK7ACVU4QNIMOWJQQ,Tinyman,21344719,552635992,2022-06-01 00:49:33
15,FMQKKGVDJ4RAHSXU2QK42QAA7RUNI6BZDY5HQVATFEGZH6CL2AH6OZJIZE,Tinyman,21344733,552635992,2022-06-01 00:50:33
16,W5PYLNUGOTBBVVTWMTVMD6VC66SC252HQ5NWVJJOQJGNRJEGBVAKM4MBZM,Tinyman,21344818,552635992,2022-06-01 00:56:43
17,6AXQKDUVG7HZPZXPBYUX7BAORXALJTBPXBRX3C6YAWFZKCWBVTQIXKKXVA,Tinyman,21345092,552635992,2022-06-01 01:16:33
18,QEXWFQ7OB3H5CEPD7ASSE42JUM3NSCILJA35FA5H3AGXXXYOSNLBIEY6ZQ,Tinyman,21345101,552635992,2022-06-01 01:17:12
19,C64KM2V4CKRIL5LRVGLRB3BLJRMCNPWBFOKKOTQ2TLKR2T7UIL63J3KEEI,Algofi,21345302,705657303,2022-06-01 01:31:48
20,HLFFNKS74KNHKMK75PCGN3MCL3F5RO7WTJXE7T3YIZOCP5VPZYDIJCCKAQ,Algofi,21345302,705663269,2022-06-01 01:31:48
21,C64KM2V4CKRIL5LRVGLRB3BLJRMCNPWBFOKKOTQ2TLKR2T7UIL63J3KEEI,Algofi,21345302,705663269,2022-06-01 01:31:48
22,CO6XDZ4AALKK7OB3HSH4WDAOSQ3ZLOGFCV6G5RPS4R6OX74AACIX742LT4,Tinyman,21345308,552635992,2022-06-01 01:32:14
23,SUX7CX5YYWPUEZOBQKAMHFY7X5FYY7YJBW2JG7BIW62ISEENRJY5YNPO7Y,Tinyman,21345468,552635992,2022-06-01 01:43:51
24,VF5ZT3MKNOAV3CAR5BBCFLQEKINILU6ONJM5UBKG4VW6YC4PB35QNQN4YQ,Tinyman,21345490,552635992,2022-06-01 01:45:27
25,RFZWFVXOP75OJMFZT3V3MVXZ5HORVBZ6QMHTEZCFQTOET4PHINV4AYV6UU,Tinyman,21345550,552635992,2022-06-01 01:49:48
26,UQ4KW7HDBYF257QPWCVRHPS5F2UNR4IFE3SOPWNO7S5P7MWBOTV5RSUCGA,Tinyman,21345557,552635992,2022-06-01 01:50:18
27,L73QBKABYGNHOCY53JTXTID3OJHCS4PKJWKI74JTYUGWGMLEKMUEBY6WCA,Tinyman,21345600,552635992,2022-06-01 01:53:24
28,OFGKC46DXDQ2FJ7F2IEEN7PU4SOAXZYLRSVHWASUP3MMG7IKR7YA5OA2PU,Tinyman,21345608,552635992,2022-06-01 01:53:59
29,WQBOJRDITU7VEQ32JBUOJGAH7KJW3XEP2QFCKPC4ZION6FDN42KNYRUT7A,Tinyman,21345892,552635992,2022-06-01 02:14:29
30,PGALB4OB73P3UYDEVEGHZDDEK4HGCIYHG74XTVRWHU3AAFJYRZGFU7CPG4,Tinyman,21345940,552635992,2022-06-01 02:17:57
31,TW27RVBM3A6A675TSC6M4264V77IOVEPNLK45F7R2QFQN4K4V64Y3FWLFA,Tinyman,21346029,552635992,2022-06-01 02:24:24
32,P4ACRTW3IRBYNLCJIFNYRKBWDHIGYTEBPPHYIA6SAX4Z6USWI6GF4HC4MU,Tinyman,21346167,552635992,2022-06-01 02:34:25
33,4A74SHRJUPXSUDQZMME75RNFIGIGOVEGNZNP5OJE56T46M7E33XMFYDRI4,Tinyman,21346186,552635992,2022-06-01 02:35:48
